Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Palau,PLW,..,136.402180172786,277.445093697918,300.613361452677,314.364052075777,330.318410084924,337.09735837812,334.960130134097,370.6878174583,384.011478267022,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Panama,PAN,..,190.639219910475,523.540435537494,603.115687398367,670.79031344726,723.485630503696,896.43239978096,1047.24824238818,1151.26048228051,1153.0192577574,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Papua New Guinea,PNG,..,3.96098449008751,6.87771259010395,8.33495091437013,9.10563419755056,7.95937892646157,8.73926465167812,9.11498966218795,9.46989573095143,9.61150284414572,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Paraguay,PRY,..,204.048389358178,365.087567546278,364.559042389866,373.17573886946,393.578903645241,419.630122003851,426.265963572973,408.349535388893,439.09829072396,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Peru,PER,..,86.6061515670055,180.628530229216,172.530842620058,176.871810250113,177.811133382371,201.007694882067,196.772049393573,172.167041497386,232.92714253311,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Philippines,PHL,..,43,134,142,152,159,171,185,189,219,231,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Poland,POL,..,176,370,396,422,448,413,454,448,487,526,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Portugal,PRT,..,419,786,815,873,912,983,1087,1033,1186,1277,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Qatar,QAT,..,535.158307142869,196.136837468766,190.939781449191,189.47220037368,203.763603467045,186.886247873082,201.338191320058,211.497590350935,193.584656037472,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Romania,ROU,..,48,210,227,251,286,316,356,394,490,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Russian Federation,RUS,..,111,484,499,522,568,596,623,600,688,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Rwanda,RWA,..,5.95522267597884,14.0461225343398,14.2833530093455,14.5605989210634,14.6129863568971,16.6881481083765,17.5420444561352,16.7447823643038,18.2521855785144,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Samoa,WSM,..,15.8843640066273,37.4887943669289,35.9485503848289,38.8481696850715,38.7072251838164,38.9538462605562,41.6747469211383,42.7994618099169,46.2722964513,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,San Marino,SMR,..,..,487.832739852841,549.203439730066,592.712697637491,595.372614841534,555.520829415247,572.538771174563,517.923038720696,641.367793980487,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Sao Tome and Principe,STP,..,72.3111251456841,38.0934505376531,32.7520567862763,34.5620933804399,37.1663998309844,35.278157322091,37.3246071430056,36.7490059599294,40.4324830312835,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Saudi Arabia,SAU,..,297.05889418553,368.289857344313,406.180824630607,411.324011586288,410.795307331306,413.164080656071,304.83305146002,316.454802848968,307.68291012222,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Senegal,SEN,..,39.8513179068866,63.5111725553185,67.1561084181858,68.0497475778102,66.3512891197622,73.8889702466067,78.363373967821,76.4515896328473,79.0485717267512,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Serbia,SRB,..,110.09627002249,540.195774813686,532.574985594556,541.267423264056,553.397376506768,577.565851073118,621.108702670296,610.723684931463,770.703759892591,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Seychelles,SYC,..,119.1367436194,316.189762628597,279.284691836704,317.243850609262,310.360811342974,336.208123452933,337.059553460079,350.097442153336,340.478809350274,..,..
